"a1ccb60b-a1e8-4e24-8ef6-126ed94e9457","Notification","Community new member","Receiver notification when I join a community","boolean","NotificationCommunityNewMember","user"
"a3dcd0ff-c597-4395-8df9-19b7c36dc51d","NotificationForum","Receive a notification when a new Discussion is created in the Forum","Receive a notification when a new Discussion is created in the Forum","boolean","NotificationForumDiscussionCreated","user"
"a8bbcec7-aad3-47c3-b60b-49ca58b04190","NotificationCommunityAdmin","[Admin] New opportunity collaboration interest","Receive notification when a user submits collaboration interest for an opportunity community I am administrator of","boolean","NotificationCommunityCollaborationInterestAdmin","user"
"a9472015-e515-438e-8ef2-5f2397b4a5eb","Notification","New Callout published","Receive a notification when a Callout is published in a community I am a member of","boolean","NotificationCalloutPublished","user"
"b0ac1a6b-3c39-428f-b7ee-a639edd55279","AuthorizationOrganization","Domain based membership","Automatically add new users with emails matching the domain of the Organization","boolean","AuthorizationOrganizationMatchDomain","organization"
"b527806a-deff-480e-a5a3-5686ebb97232","Notification","Invitations to a community","Receive a notification when someone invites you to join a community","boolean","NotificationCommunityInvitationUser","user"
"c2d79247-dbae-4c01-a529-cd0a602ad20e","NotificationOrganizationAdmin","Mentions or tags of an organization you manage","Receive a notification when the organization you are admin of is mentioned","boolean","NotificationOrganizationMention","user"
"d0bdba2e-0350-4378-9fac-ee0b750ad196","NotificationCommunityAdmin","[Admin] Community new member","Receiver notification when a new user joins a community for which I am an administrator","boolean","NotificationCommunityNewMemberAdmin","user"
"ead3043b-1d93-43bd-b560-53446efcfd4a","Privileges","Allow Space members to create Challenges","Allow members of the Space to create Challenges.","boolean","AllowMembersToCreateChallenges","space"
"f15c058f-5a03-4f0a-9083-beffb5bd7e95","Privileges","Allow members to create Callouts.","Allow members to create Callouts.","boolean","AllowMembersToCreateCallouts","space"
"f3e9564c-3d45-4d59-95ff-f177623f0f30","Notification","Comment replies","Receive a notification when someone replies to your comment","boolean","NotificationCommentReply","user"
